                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.72064,                 0.4965,                0.95214,                0.95988,                0.79523,                0.91391,                0.76655,                0.69796,                0.54651,                0.99923,             0.00073337,             0.00073337,             0.00073337
                    105,                0.71634,                0.49752,                0.95403,                0.94455,                0.78404,                0.92557,                0.75164,                0.74024,                0.54828,                 1.0061,              0.0007297,              0.0007297,              0.0007297
                    106,                0.75342,                0.51415,                0.94783,                 0.9101,                0.74289,                0.90715,                0.73626,                0.71754,                0.60303,                 1.0146,             0.00072604,             0.00072604,             0.00072604
                    107,                0.74624,                0.53155,                 0.9532,                0.85826,                0.75203,                0.88961,                0.69917,                0.77663,                0.68688,                 1.0248,             0.00072237,             0.00072237,             0.00072237
                    108,                0.73456,                 0.5197,                0.95745,                0.83493,                0.82265,                0.89487,                 0.7392,                0.68408,                0.61357,                 0.9936,             0.00071871,             0.00071871,             0.00071871
                    109,                0.72907,                0.52484,                0.96672,                 0.9153,                0.75735,                0.90146,                0.74945,                0.65743,                0.55889,                0.98929,             0.00071504,             0.00071504,             0.00071504
                    110,                0.69855,                0.49873,                 0.9449,                0.96297,                0.78161,                0.90327,                0.74966,                0.67557,                0.54054,                 1.0115,             0.00071137,             0.00071137,             0.00071137
                    111,                0.71483,                0.49416,                0.95892,                0.95727,                0.77045,                0.90344,                0.75288,                 0.6618,                0.51344,                0.97258,             0.00070771,             0.00070771,             0.00070771
                    112,                0.70965,                  0.515,                0.94461,                0.90215,                0.76349,                0.89848,                0.74671,                0.66871,                0.52977,                0.95391,             0.00070404,             0.00070404,             0.00070404
                    113,                0.71076,                0.50147,                0.95073,                0.89039,                0.77856,                0.88315,                 0.7478,                0.63486,                0.52549,                0.94734,             0.00070037,             0.00070037,             0.00070037
                    114,                0.70712,                0.49984,                0.93695,                0.91565,                0.74402,                0.89321,                0.75162,                0.63778,                0.51882,                0.94701,             0.00069671,             0.00069671,             0.00069671
                    115,                0.72924,                0.49984,                0.95059,                0.96278,                 0.8103,                0.93001,                0.78104,                 0.6298,                0.48732,                 0.9449,             0.00069304,             0.00069304,             0.00069304
                    116,                0.67813,                0.48589,                 0.9392,                 0.9725,                0.79307,                0.92781,                0.77557,                0.64029,                0.47453,                0.93485,             0.00068938,             0.00068938,             0.00068938
                    117,                0.74201,                0.50991,                0.96238,                0.98275,                0.81971,                0.92673,                0.76104,                0.64908,                0.48903,                0.93167,             0.00068571,             0.00068571,             0.00068571
                    118,                0.69077,                0.48208,                0.94429,                0.96766,                0.81122,                0.92397,                0.78228,                0.62917,                0.47246,                0.92209,             0.00068204,             0.00068204,             0.00068204
                    119,                0.69549,                0.49905,                0.95981,                0.91145,                0.89065,                 0.9232,                 0.7557,                0.69458,                0.54835,                0.97337,             0.00067838,             0.00067838,             0.00067838
                    120,                0.69502,                0.48744,                0.94443,                0.96168,                0.82043,                0.92258,                0.77542,                0.62113,                0.51719,                0.95938,             0.00067471,             0.00067471,             0.00067471
                    121,                0.71106,                0.50148,                0.94445,                0.93448,                0.83142,                0.92857,                0.78622,                0.62923,                0.48578,                 0.9642,             0.00067104,             0.00067104,             0.00067104
                    122,                 0.6806,                0.47725,                0.94909,                0.95024,                0.80291,                 0.9234,                0.77034,                0.63017,                0.51054,                0.97152,             0.00066738,             0.00066738,             0.00066738
                    123,                0.68671,                0.48242,                0.93877,                0.94956,                0.77212,                0.90787,                0.72568,                0.66527,                0.58708,                0.98385,             0.00066371,             0.00066371,             0.00066371
                    124,                0.67455,                 0.4693,                0.94002,                0.91654,                0.82967,                0.91271,                 0.7381,                0.66488,                0.57603,                0.97765,             0.00066005,             0.00066005,             0.00066005
                    125,                0.64898,                0.46126,                0.92507,                0.95639,                0.80336,                0.92538,                 0.7634,                 0.6642,                0.52356,                 0.9661,             0.00065638,             0.00065638,             0.00065638
                    126,                0.70807,                0.47364,                0.94424,                0.90345,                   0.85,                0.92904,                 0.7503,                0.71383,                0.55798,                0.98696,             0.00065271,             0.00065271,             0.00065271
                    127,                0.68883,                0.46942,                0.93507,                0.93365,                0.79585,                0.92348,                0.76084,                0.66218,                0.56373,                0.96215,             0.00064905,             0.00064905,             0.00064905
                    128,                0.65062,                0.44979,                0.91777,                 0.9191,                0.81616,                0.91728,                0.77947,                0.61846,                 0.5388,                0.95792,             0.00064538,             0.00064538,             0.00064538
                    129,                0.70063,                0.47609,                0.93591,                0.93831,                0.79901,                0.91963,                0.78253,                0.61628,                0.49573,                0.95179,             0.00064171,             0.00064171,             0.00064171
                    130,                0.67713,                0.47263,                0.93791,                0.97151,                0.82086,                0.93905,                0.80049,                0.60895,                0.45761,                0.94133,             0.00063805,             0.00063805,             0.00063805
                    131,                0.67488,                 0.4753,                0.95457,                0.97216,                0.83894,                0.93835,                 0.7833,                0.66629,                0.51713,                0.96322,             0.00063438,             0.00063438,             0.00063438
                    132,                0.65594,                0.46212,                0.93991,                0.92956,                0.80925,                0.93503,                0.78613,                0.59391,                0.50388,                0.94883,             0.00063071,             0.00063071,             0.00063071
                    133,                0.65334,                 0.4637,                0.93156,                0.94373,                0.83438,                0.92311,                0.77747,                0.61978,                0.54265,                0.93594,             0.00062705,             0.00062705,             0.00062705
                    134,                0.64048,                0.45599,                0.92795,                0.92601,                 0.8027,                0.91379,                0.76459,                0.61514,                0.56684,                0.94122,             0.00062338,             0.00062338,             0.00062338
                    135,                0.64859,                0.45832,                0.93051,                0.89432,                0.78608,                0.91602,                0.76808,                0.64565,                0.58283,                0.98067,             0.00061972,             0.00061972,             0.00061972
                    136,                0.65091,                0.46018,                0.93405,                0.88999,                0.81174,                0.91379,                0.76113,                0.62989,                0.51292,                0.95367,             0.00061605,             0.00061605,             0.00061605
                    137,                 0.6499,                0.46488,                0.92874,                0.94224,                0.80262,                0.92123,                0.77275,                0.61862,                0.48555,                0.94159,             0.00061238,             0.00061238,             0.00061238
                    138,                0.65721,                0.46597,                0.94477,                0.94524,                0.81534,                0.92277,                0.76832,                0.62252,                0.45258,                0.94324,             0.00060872,             0.00060872,             0.00060872
                    139,                0.65819,                0.46528,                0.93539,                0.96316,                0.78971,                0.92718,                0.78607,                0.61902,                0.47022,                0.94121,             0.00060505,             0.00060505,             0.00060505
                    140,                0.68875,                 0.4709,                0.94563,                0.95215,                0.80292,                0.91356,                0.75592,                0.67599,                0.52688,                0.97373,             0.00060138,             0.00060138,             0.00060138
                    141,                0.64163,                0.44763,                0.93602,                0.94257,                0.83683,                0.91045,                0.77937,                 0.6263,                0.55763,                0.95178,             0.00059772,             0.00059772,             0.00059772
                    142,                0.64111,                 0.4584,                0.92533,                0.95846,                0.81039,                0.89936,                0.75189,                0.69187,                0.51797,                0.95419,             0.00059405,             0.00059405,             0.00059405
                    143,                0.63847,                0.45203,                0.92473,                0.94185,                 0.8478,                0.91184,                0.75973,                 0.6655,                0.47444,                0.95252,             0.00059039,             0.00059039,             0.00059039
                    144,                0.67368,                0.46867,                0.94121,                0.94915,                0.82605,                0.91516,                0.80195,                0.59684,                0.46471,                0.95453,             0.00058672,             0.00058672,             0.00058672
                    145,                0.64789,                0.45984,                0.94088,                0.96268,                0.84357,                0.92878,                0.81349,                0.58095,                 0.4152,                 0.9428,             0.00058305,             0.00058305,             0.00058305
                    146,                0.65303,                0.45765,                0.94018,                0.97491,                0.82615,                 0.9302,                0.80679,                0.59473,                0.46232,                0.94123,             0.00057939,             0.00057939,             0.00057939
                    147,                0.68062,                0.47448,                0.93998,                0.95351,                0.79718,                0.91582,                0.76893,                0.64139,                0.52497,                0.94418,             0.00057572,             0.00057572,             0.00057572
                    148,                0.65766,                0.45984,                0.92322,                0.94175,                0.81965,                0.92568,                0.77627,                0.63228,                0.46998,                0.94474,             0.00057205,             0.00057205,             0.00057205
                    149,                0.62627,                0.42848,                0.91575,                0.96707,                0.78825,                0.92124,                 0.7765,                0.61465,                0.44303,                0.92989,             0.00056839,             0.00056839,             0.00056839
                    150,                0.65683,                0.44925,                0.91184,                0.91105,                0.84733,                0.91708,                0.78041,                0.63501,                0.44279,                0.93606,             0.00056472,             0.00056472,             0.00056472
                    151,                0.61487,                0.43047,                 0.9103,                0.92392,                0.82822,                0.92674,                 0.7986,                0.59677,                0.44369,                 0.9243,             0.00056105,             0.00056105,             0.00056105
                    152,                0.62102,                0.44433,                0.92383,                0.94043,                 0.8485,                0.94743,                0.82495,                0.59837,                0.45244,                0.94083,             0.00055739,             0.00055739,             0.00055739
                    153,                 0.6412,                0.44755,                0.92295,                0.94165,                0.85161,                0.95097,                0.81667,                0.61674,                0.47023,                0.94827,             0.00055372,             0.00055372,             0.00055372
